Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Load type ,=,Axial compression with eccentrically indunced moments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,et (mm),eb (mm),Bending Axis,δo (mm),N Test (kN),Notes
Bradford (LRC_WMe),Liu Dalin,2004,[124],E04,150.00,150.00,4.18,2170.00,550.00,,200.00,65.68,,Cyl,60.00,60.00,y-y,,1020.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E05,120.00,180.00,4.18,1040.00,550.00,,200.00,56.64,,Cyl,30.00,30.00,y-y,,1950.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E06,120.00,180.00,4.18,1040.00,550.00,,200.00,65.68,,Cyl,70.00,70.00,y-y,,1140.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E07,80.00,120.00,4.18,1740.00,550.00,,200.00,56.64,,Cyl,20.00,20.00,y-y,,660.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E08,80.00,120.00,4.18,1740.00,550.00,,200.00,65.68,,Cyl,20.00,20.00,y-y,,855.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E09,100.00,200.00,4.18,1150.00,550.00,,200.00,56.64,,Cyl,60.00,60.00,y-y,,1310.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E10,100.00,200.00,4.18,1150.00,550.00,,200.00,65.68,,Cyl,40.00,40.00,y-y,,1800.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E11,80.00,160.00,4.18,2310.00,550.00,,200.00,56.64,,Cyl,60.00,60.00,y-y,,670.00,
Bradford (LRC_WMe),Liu Dalin,2004,[124],E12,80.00,160.00,4.18,2310.00,550.00,,200.00,65.68,,Cyl,30.00,30.00,y-y,,1020.00,
Bradford (LRC_WMe),Guo & Zhang,2007,[58],R-K3-2,100.50,200.70,3.62,1800.00,289.00,,200.00,44.00,,Cyl,40.00,40.00,y-y,,983.00,
Bradford (LRC_WMe),Guo & Zhang,2007,[58],R-K3-5,200.40,99.40,3.64,1800.00,289.00,,200.00,44.00,,Cyl,30.00,30.00,z-z,,655.00,
Mark (RCFT_C+PBC),Knowles & Park,1969,[25],BeamColumn-7,76.20,76.20,3.35,812.80,324.05,,375.76,41.37,,Cyl,7.62,7.62,y-y,,345.85,
Mark (RCFT_C+PBC),Knowles & Park,1969,[25],BeamColumn-8,76.20,76.20,3.35,1422.40,324.05,,375.76,41.37,,Cyl,7.62,7.62,y-y,,281.13,
Mark (RCFT_C+PBC),Knowles & Park,1969,[25],BeamColumn-9,76.20,76.20,3.35,812.80,324.05,,375.76,41.37,,Cyl,25.40,25.40,y-y,,216.41,
Mark (RCFT_C+PBC),Knowles & Park,1969,[25],BeamColumn-10,76.20,76.20,3.35,1422.40,324.05,,375.76,41.37,,Cyl,25.40,25.40,y-y,,156.35,
Mark (RCFT_C+PBC),Bridge,1976,[49],SHC-1,203.70,203.90,9.96,2130.00,291.00,,,29.90,,Cyl,38.00,38.00,y-y,,1956.00,
Mark (RCFT_C+PBC),Bridge,1976,[49],SHC-7,152.50,152.30,6.48,3050.00,254.00,,,31.10,,Cyl,38.00,38.00,z-z,,680.00,
Mark (RCFT_C+PBC),Bridge,1976,[49],SHC-8,152.50,152.30,6.48,3050.00,254.00,,,31.10,,Cyl,64.00,64.00,z-z,,513.00,
Mark (RCFT_C+PBC),Shakir-Khalil & Zeghiche,1989,[50],2,80.00,120.00,4.50,3210.00,386.30,,,40.00,,Cyl,24.00,24.00,y-y,,393.00,
