Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,75,4500,79.83883
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,35,3500,111.37204
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,75,4250,177.49506
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,35,2500,15.5701885
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,55,3750,152.59187
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,45,4500,221.30862
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,55,3250,330.86264
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,65,4250,193.94714
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,65,4250,247.7271
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,45,3750,143.11536
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,45,4500,60.598503
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,45,2750,410.4701
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,75,2500,472.2265
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,75,2750,437.47437
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,65,3500,131.98128
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,45,4250,175.3592
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,75,2750,379.79825
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,55,3500,111.53707
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,45,3250,285.24747
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,240,45,3500,130.8799
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,55,4250,14.031437
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,45,4000,210.54651
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,35,4000,245.11905
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,35,4500,213.37964
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,45,3500,296.2581
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,800,45,2500,479.48407
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,75,4500,3.605948
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,35,4500,144.75412
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,35,3250,260.8294
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,65,3750,299.51974
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,65,4250,176.01923
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,55,3750,74.83622
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,55,4000,131.61986
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,45,3750,237.70117
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,240,45,3750,69.27405
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,75,4500,220.41162
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,65,2750,429.50287
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,35,2750,39.67466
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,35,2750,412.27765
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,420,35,2500,423.9422
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,45,4250,118.99228
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,600,55,4250,247.95053
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,55,2750,373.68848
R_HSS,HSS76.2X76.2X7.9,15.7,1900.0,76.2,76.2,7.94,7.39,420,75,4500,145.7837
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,600,35,4500,211.3252
R_HSS,HSS101.6X50.8X7.9,15.7,1900.0,102.0,50.8,7.94,7.39,800,65,2750,80.13877
