Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Ye Zaili,2001,[128],105,103.50,103.50,5.01,300.00,347.30,,200.00,58.60,,Cyl,,1500.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],106,102.10,102.10,4.97,300.00,347.30,,200.00,58.60,,Cyl,,1330.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],113,101.90,101.90,5.03,300.00,347.30,,200.00,58.60,,Cyl,,1440.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],161,142.30,142.30,5.09,420.00,347.30,,200.00,58.60,,Cyl,,2520.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],162,142.40,142.40,5.10,420.00,347.30,,200.00,58.60,,Cyl,,2610.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],130,143.20,143.20,2.03,420.00,305.10,,200.00,58.60,,Cyl,,1990.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],133,142.30,142.30,2.01,420.00,305.10,,200.00,58.60,,Cyl,,1855.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],156,140.50,140.50,2.00,420.00,305.10,,200.00,58.60,,Cyl,,1780.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],127,141.50,141.50,3.08,420.00,255.10,,200.00,58.60,,Cyl,,1920.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],134,142.40,142.40,3.05,420.00,255.10,,200.00,58.60,,Cyl,,2060.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],129,141.60,141.60,3.04,420.00,255.10,,200.00,58.60,,Cyl,,1960.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],159,149.10,149.10,5.06,420.00,347.30,,200.00,58.60,,Cyl,,1700.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],93,143.10,143.10,3.02,420.00,255.10,,200.00,44.90,,Cyl,,1150.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],22,101.60,130.30,5.03,390.00,347.30,,200.00,49.40,,Cyl,,1580.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],38,102.30,130.30,5.14,390.00,347.30,,200.00,49.40,,Cyl,,1600.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],39,102.30,130.30,5.14,390.00,347.30,,200.00,49.40,,Cyl,,1640.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],85,120.20,166.30,2.94,480.00,255.10,,200.00,49.40,,Cyl,,1580.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],86,126.20,161.00,2.98,480.00,255.10,,200.00,49.40,,Cyl,,1580.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],88,126.00,160.30,2.92,480.00,255.10,,200.00,49.40,,Cyl,,1560.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],4,136.10,167.40,5.13,480.00,347.30,,200.00,49.40,,Cyl,,2510.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],5,135.30,170.80,5.07,510.00,347.30,,200.00,49.40,,Cyl,,2470.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],136,102.70,125.70,5.15,390.00,347.30,,200.00,58.60,,Cyl,,1840.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],150,120.40,130.00,5.03,390.00,347.30,,200.00,58.60,,Cyl,,1820.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],151,102.70,132.30,4.98,390.00,347.30,,200.00,58.60,,Cyl,,1725.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],160,122.50,157.10,2.01,480.00,305.10,,200.00,58.60,,Cyl,,1800.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],163,119.00,161.90,2.00,480.00,305.10,,200.00,58.60,,Cyl,,1740.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],135,125.10,160.40,2.85,480.00,255.10,,200.00,58.60,,Cyl,,1855.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],137,125.60,160.00,2.88,480.00,255.10,,200.00,58.60,,Cyl,,2030.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],152,125.00,161.10,2.81,480.00,255.10,,200.00,58.60,,Cyl,,2040.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],153,137.10,167.90,5.10,480.00,347.30,,200.00,58.60,,Cyl,,2600.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],154,133.20,172.70,5.08,480.00,347.30,,200.00,58.60,,Cyl,,2700.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],60,122.70,160.20,2.03,480.00,305.10,,200.00,49.40,,Cyl,,1400.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],62,119.40,160.10,2.01,480.00,305.10,,200.00,49.40,,Cyl,,1420.00,
Bradford (SRC_NM),Ye Zaili,2001,[128],65,124.30,161.50,2.00,480.00,305.10,,200.00,49.40,,Cyl,,1320.00,
Bradford (SRC_NM),Guo et al.,2006,[38],S-150-F-1,149.30,149.30,3.63,448.00,283.60,,200.00,31.70,,Cyl,,1771.00,"o=oiled	, c=conc loaded, s=steel loaded	"
